,,,Pass,Pass,Pass,Rush,Rush
Rk,Player,G,Yds,TD,Rate,Yds,TD
1,Jalen Hurts*,14,3851,32,191.2,1298,20
2,Joe Burrow*,15,5671,60,202,368,5
3,Tyler Huntley*,14,3092,19,177.6,290,5
4,Tanner Morgan*,13,3253,30,178.7,-57,1
5,Trey Lance,16,2786,28,180.6,1100,14
6,Brady White*,14,4014,33,164.6,-71,4
7,Layne Hatcher*,10,2946,27,167.9,46,1
8,Dillon Gabriel*,13,3653,29,156.9,78,4
9,Justin Fields*,14,3273,41,181.4,484,10
10,Trevor Lawrence*,15,3665,36,166.7,563,9
11,Tyler Johnston III*,11,2250,17,145.4,247,1
12,Kedon Slovis*,12,3502,30,167.6,-57,0
13,Chris Reynolds*,13,2564,22,153.6,791,6
14,Jayden Daniels*,12,2943,17,149.2,355,3
15,Sam Howell*,13,3641,38,160.2,35,1
16,Jack Abraham*,13,3496,19,148.5,77,6
17,Nathan Rourke*,13,2820,20,150.3,867,13
18,Stephen Calvert*,13,3663,28,147.4,-151,0
19,Brock Purdy*,13,3982,27,151.1,249,8
20,Dustin Crum*,13,2625,20,159.6,707,6
21,Jarrett Guarantano*,13,2158,16,144,54,0
22,Spencer Sanders*,11,2065,16,145.4,628,2
23,Kyle Trask*,12,2941,25,156.1,8,4
24,Patrick O'Brien,11,2803,13,140,-21,2
25,Sean Clifford*,12,2654,23,148.5,402,5
26,Josh Love,12,3923,22,141.2,-88,3
27,Peyton Ramsey*,11,2454,13,147.7,252,7
28,Anthony Gordon*,13,5579,48,157.9,-20,0
29,Cole McDonald*,14,4135,33,147.6,383,7
30,Sam Ehlinger*,13,3663,32,151.8,663,7
31,Justin Herbert*,14,3471,32,156.8,50,4
32,Charlie Brewer*,14,3161,21,147,344,11
33,Levi Lewis*,14,3050,26,152.6,195,3
34,J'mar Smith*,11,2977,18,145.9,264,4
35,Shane Buechele*,13,3929,34,148.8,105,2
36,Shea Patterson*,13,3061,23,139.4,50,5
37,Jack Coan*,14,2727,18,151.8,22,4
38,James Blackman*,12,2339,17,142,41,1
39,Chris Robison*,14,3701,28,144.9,-60,2
40,Kaleb Barker,12,3628,30,148.4,137,2
41,Mike Glass III*,12,3169,24,147,428,8
42,Drew Plitt,12,2918,24,148.2,171,5
43,Jamie Newman*,12,2868,26,145.3,574,6
44,Jarren Williams*,12,2187,19,145.4,-68,0
45,Asher O'Hara,12,2616,20,143.2,1058,9
46,Justin McMillan*,13,2444,17,135.2,745,12
47,Skylar Thompson*,13,2315,12,135,405,11
48,Adrian Martinez,10,1956,10,130.8,626,7
49,Holton Ahlers,12,3387,21,135.3,359,6
50,Jacob Eason*,13,3132,23,143.9,-69,1
51,Jett Duffey,10,2840,18,143.6,212,1
52,Zach Smith,12,3279,19,132,-96,0
53,Jon Wassink*,13,3097,20,135.4,319,3
54,Ian Book*,13,3034,34,149.1,546,4
55,Caleb Evans,12,2939,21,137.3,794,12
56,Zac Thomas*,14,2718,28,148.7,440,7
57,Jake Luton,11,2714,28,149.8,-87,1
58,Brett Gabbert*,14,2411,11,125.9,72,3
59,Kelly Bryant,10,2215,15,138.5,242,1
60,Fred Payton,10,1421,12,141.2,181,2
61,Mason Fine,12,3088,29,143.5,-98,2
62,Dorian Thompson-Robinson,11,2701,21,134.9,198,4
63,Tevaka Tuioti,9,1460,7,120.9,262,0
64,Nathan Stanley*,13,2951,16,131.2,7,1
65,Jake Fromm*,14,2860,24,141.2,-12,0
66,Ty Storey*,11,2567,14,141.7,276,7
67,Ross Bowers,9,2130,7,122.7,-111,1
68,Jorge Reyna,12,2654,15,133.3,264,2
69,Isaiah Green*,13,2438,15,125.4,300,5
70,Khalil Tate,11,1954,14,131,413,3
71,Kai Locksley,11,1329,6,124,535,5
72,Jordan Love*,13,3402,20,129.1,175,0
73,Carter Stanley,12,2664,24,136.7,68,1
74,James Morgan*,12,2585,14,128.9,-40,2
75,Bryce Perkins*,14,3530,22,134.2,769,11
76,Brian Lewerke*,13,3079,17,125.9,363,3
77,Tommy Devito,12,2360,19,137.7,122,2
78,Kellen Mond*,13,2897,20,131.1,501,8
79,Steven Montez,12,2808,17,130.1,153,3
80,Dan Ellington*,13,2447,22,137.8,668,6
81,Brandon Peters*,11,1884,18,128.6,213,3
82,Jack Zergiotis,10,1782,9,118.2,-46,0
83,Tyler Vitt,9,1590,11,125,119,0
84,Anthony Russo*,13,2861,21,126.9,-64,2
85,Kenyon Oblad,11,2081,18,124.4,-43,1
86,Bo Nix*,13,2542,16,125,313,7
87,Desmond Ridder*,13,2164,18,123.7,650,5
88,Kenny Pickett*,12,3098,13,122.4,110,2
89,Ryan Agnew*,12,2462,14,128,116,1
90,Austin Kendall,9,1989,12,122.9,91,1
91,Kato Nelson,10,1820,11,117.2,121,0
92,Jordan McCloud,12,1429,12,119.5,283,4
93,Carson Strong*,10,2335,11,121.8,-6,0
94,Josh Jackson,10,1274,12,112.4,-53,0
95,Max Duggan,12,2077,15,113.6,555,6
96,Riley Neal,11,1585,9,117,47,0
97,Lowell Narcisse,11,1226,8,112.6,492,4
98,James Graham,11,1164,12,109,290,3
99,Josh Adkins,12,2588,14,116.4,41,4
100,Ryan Hilinski,11,2357,11,113.4,-55,1
101,Quentin Harris,12,2078,16,116.1,510,7
102,Grant Loy,12,1137,6,102.6,427,4
